,City,Latitude,Longitude,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Chui,-33.6971,-53.4616,21.85,94,95,2.54,UY,1646456784
1,Provideniya,64.3833,-173.3,-8.95,84,100,1.97,RU,1646456784
2,Saint-Philippe,-21.3585,55.7679,27.77,86,100,6.07,RE,1646456785
3,Qaanaaq,77.484,-69.3632,-17.59,67,0,3.25,GL,1646456785
4,Castro,-24.7911,-50.0119,17.13,94,100,1.02,BR,1646456786
5,Khatanga,71.9667,102.5,-26.78,94,96,4.37,RU,1646456787
6,Bambous Virieux,-20.3428,57.7575,26.79,82,87,6.36,MU,1646456787
7,Cidreira,-30.1811,-50.2056,24.33,93,8,5.63,BR,1646456787
8,Chiang Khong,20.2613,100.4046,35.35,26,26,1.21,TH,1646456788
9,Ponta do Sol,32.6667,-17.1,14.59,58,60,2.86,PT,1646456788
10,Kohlu,29.8962,69.252,16.93,39,97,2.68,PK,1646456789
11,Japura,-0.3167,102.35,30.06,64,100,1.93,ID,1646456789
12,Avarua,-21.2078,-159.775,28.03,78,98,1.54,CK,1646456790
13,Phuthaditjhaba,-28.5242,28.8158,15.34,98,99,1.8,ZA,1646456791
14,Mataura,-46.1927,168.8643,20.27,48,100,0.6,NZ,1646456791
15,Verkhoyansk,67.5447,133.385,-18.03,86,100,1.24,RU,1646456792
16,Iquitos,-3.7481,-73.2472,22.02,100,75,0.51,PE,1646456792
17,Ushuaia,-54.8,-68.3,5.31,98,100,1.42,AR,1646456531
18,Butaritari,3.0707,172.7902,27.52,78,36,6.88,KI,1646456793
19,Isangel,-19.55,169.2667,31.06,70,20,2.06,VU,1646456793
20,Hobart,-42.8794,147.3294,23.31,57,75,6.69,AU,1646456794
21,Barrow,71.2906,-156.7887,-12.99,78,0,6.17,US,1646456794
22,Makkah al Mukarramah,21.4267,39.8261,23.97,56,44,1.13,SA,1646456795
23,Iqaluit,63.7506,-68.5145,-27.95,75,19,4.47,CA,1646456796
24,Alofi,-19.0595,-169.9187,27.48,78,98,4.45,NU,1646456796
25,George Town,5.4112,100.3354,28.96,74,20,2.57,MY,1646456572
26,Leningradskiy,69.3833,178.4167,-21.96,98,99,2.27,RU,1646456797
27,Mahébourg,-20.4081,57.7,26.81,82,93,6.62,MU,1646456798
28,Faya,18.3851,42.4509,16.29,59,31,2.67,SA,1646456798
29,Kapaa,22.0752,-159.319,21.33,73,100,3.6,US,1646456799
30,Vila Velha,-20.3297,-40.2925,24.97,83,0,2.57,BR,1646456799
31,Yellowknife,62.456,-114.3525,-9.7,85,100,1.03,CA,1646456800
32,Yatou,37.15,122.3833,4.33,33,0,10.16,CN,1646456800
33,Lebu,-37.6167,-73.65,12.51,80,0,7.36,CL,1646456801
34,Faanui,-16.4833,-151.75,27.57,73,16,7.47,PF,1646456801
35,Moerai,-22.4333,-151.3333,27.26,74,70,3.65,PF,1646456802
36,Hithadhoo,-0.6,73.0833,28.16,67,48,2.08,MV,1646456802
37,New Baltimore,42.6811,-82.7369,-1.41,91,0,0.0,US,1646456648
